iter	Passed	Remaining
730	93575	34434
731	93701	34305
732	93826	34177
733	93954	34049
734	94086	33922
735	94215	33794
736	94344	33667
737	94470	33538
738	94600	33411
739	94727	33282
740	94857	33155
741	94989	33028
742	95119	32901
743	95247	32773
744	95376	32645
745	95504	32517
746	95633	32389
747	95762	32262
748	95894	32135
749	96024	32008
750	96158	31881
751	96291	31755
752	96418	31627
753	96548	31499
754	96677	31372
755	96805	31244
756	96933	31116
757	97059	30987
758	97186	30859
759	97314	30730
760	97438	30601
761	97564	30472
762	97691	30344
763	97818	30216
764	97944	30087
765	98071	29959
766	98203	29832
767	98330	29704
768	98457	29575
769	98587	29448
770	98712	29319
771	98838	29190
772	98967	29062
773	99093	28934
774	99219	28805
775	99344	28676
776	99468	28547
777	99592	28418
778	99718	28289
779	99843	28161
780	99969	28032
781	100095	27903
782	100221	27775
783	100346	27646
784	100475	27518
785	100602	27390
786	100729	27262
787	100855	27133
788	100980	27004
789	101107	26876
790	101236	26748
791	101362	26620
792	101488	26491
793	101616	26363
794	101741	26235
795	101868	26107
796	101995	25978
797	102122	25850
798	102250	25722
799	102379	25594
800	102504	25466
801	102629	25337
802	102757	25209
803	102885	25081
804	103017	24954
805	103146	24826
806	103273	24698
807	103400	24570
808	103527	24442
809	103652	24313
810	103778	24185
811	103905	24056
812	104033	23928
813	104161	23801
814	104287	23672
815	104422	23546
816	104548	23417
817	104676	23289
818	104801	23161
819	104935	23034
820	105059	22905
821	105190	22778
822	105315	22649
823	105446	22522
824	105572	22394
825	105707	22267
826	105832	22139
827	105968	22012
828	106090	21883
829	106212	21754
830	106361	21630
831	106488	21502
832	106616	21374
833	106739	21245
834	106866	21117
835	106990	20988
836	107115	20860
837	107242	20731
838	107368	20603
839	107493	20475
840	107621	20346
841	107751	20219
842	107878	20091
843	108005	19963
844	108133	19835
845	108261	19707
846	108386	19578
847	108514	19450
848	108638	19322
849	108760	19193
850	108886	19064
851	109012	18936
852	109137	18808
853	109259	18679
854	109385	18550
855	109510	18422
856	109640	18294
857	109767	18166
858	109894	18038
859	110021	17910
860	110149	17782
861	110277	17654
862	110404	17526
863	110529	17398
864	110655	17269
865	110782	17141
866	110909	17013
867	111035	16885
868	111160	16757
869	111286	16629
